iteration,loss,mean_reward,max_reward
1,342.8672499597035,0.0,0.0
2,383.0929396375391,0.0,0.0
3,369.58183753429364,0.0,0.0
4,368.87111618978935,0.0,0.0
5,355.48419312469053,0.0,0.0
6,339.8024625152831,0.0,0.0
7,351.9111689147904,0.0,0.0
8,351.0193443471811,0.0,0.0
9,303.2033305397184,0.0,0.0
10,336.511725364409,0.0,0.0
11,339.5604695021358,0.0,0.0
12,362.5220706771163,0.0,0.0
13,304.4524988296753,0.0,0.0
14,358.2023434442593,0.0,0.0
15,351.8703995636974,0.0,0.0
16,332.2195045692617,0.0,0.0
17,344.3740265938052,0.0,0.0
18,313.06737270939374,0.0,0.0
19,322.46477296436876,0.0,0.0
20,314.1301010281446,0.8021764273698158,0.9948697087999221
