iteration,success_rate,mean_reward,max_reward,avg_measurements,feature_diversity
200,0.3149392618532221,0.2889635571119332,0.5648598376269773,4.85,1.1
400,0.3292842012452364,0.29757052074714185,0.49991050913345725,4.7,1.2
600,0.47798961042278126,0.3867937662536688,0.6142702115367173,4.55,1.3
800,0.3660330860393036,0.3196198516235822,0.5739073291667371,4.4,1.4
1000,0.6453493908542836,0.48720963451257016,0.7363075202590187,4.25,1.5
1200,0.4497714702106918,0.36986288212641505,0.6667908697481592,4.1,1.6
1400,0.6233049439619547,0.47398296637717285,0.6993558496125131,3.95,1.7
1600,0.6386953127715661,0.48321718766293964,0.7660273121686247,3.8,1.8
1800,0.6476468201019342,0.4885880920611605,0.7588738450817811,3.65,1.9
2000,0.7174218143516917,0.530453088611015,0.7772949253622075,3.5,2.0
