Grid World GFlowNet Results
Timestamp: 2025-07-24_22-23-40
========================================
📊 Evaluation Results:
   Successful evaluations: 50/50
   Mean Reward: 0.3
   High Reward (≥5.0) Rate: 0.0% (0/50)
   Max Reward (≥10.0) Rate: 2.0% (1/50)

📋 Sample Trajectories:
   1. (1,1) → (2,1) → (1,1) → (2,1) → (1,1) → (2,1) → (2,1) (Reward: 0.1)
   2. (1,1) → (2,1) → (1,1) → (1,2) → (1,3) → (1,4) → (1,4) (Reward: 0.1)
   3. (1,1) → (2,1) → (2,1) (Reward: 0.1)

📈 Reward Distribution:
   Reward 0.1: 49 samples (default terminal)
   Reward 5.0: 0 samples (positions (1,5) and (5,1))
   Reward 10.0: 1 samples (position (3,3))
   Other: 0 samples


Training Data:
Iteration 1: Loss=7.5527916, Mean Reward=0.40625015, High Rewards=2, Successful=32
Iteration 2: Loss=9.802806, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 3: Loss=6.8270807, Mean Reward=0.71875006, High Rewards=2, Successful=32
Iteration 4: Loss=7.44956, Mean Reward=0.4093752, High Rewards=1, Successful=32
Iteration 5: Loss=7.827689, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 6: Loss=5.268779, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 7: Loss=6.072947, Mean Reward=0.40937522, High Rewards=1, Successful=32
Iteration 8: Loss=5.1022816, Mean Reward=1.0249997, High Rewards=4, Successful=32
Iteration 9: Loss=9.103173, Mean Reward=1.1781248, High Rewards=5, Successful=32
Iteration 10: Loss=7.5013027, Mean Reward=0.55937505, High Rewards=3, Successful=32
Iteration 11: Loss=8.754835, Mean Reward=0.71562517, High Rewards=3, Successful=32
Iteration 12: Loss=7.165467, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 13: Loss=6.83134, Mean Reward=0.40937522, High Rewards=1, Successful=32
Iteration 14: Loss=6.8333397, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 15: Loss=7.272062, Mean Reward=0.40625015, High Rewards=2, Successful=32
