Grid World GFlowNet Results
Timestamp: 2025-07-24_22-31-10
========================================
📊 Evaluation Results:
   Successful evaluations: 50/50
   Mean Reward: 0.7
   High Reward (≥5.0) Rate: 8.0% (4/50)
   Max Reward (≥10.0) Rate: 2.0% (1/50)

📋 Sample Trajectories:
   1. (1,1) → (2,1) → (3,1) → (3,2) → (4,2) → (4,3) → (4,3) (Reward: 0.1)
   2. (1,1) → (2,1) → (3,1) → (4,1) → (3,1) → (3,2) → (3,1) → (4,1) → (5,1) → (5,2) → (5,1) → (5,2) → (5,3) → (5,4) → (5,3) → (5,4) → (5,3) → (5,4) → (5,5) → (5,4) → (5,5) → (5,4) → (4,4) → (4,3) → (5,3) → (5,4) → (5,5) → (5,4) → (5,3) → (4,3) → (5,3) → (5,2) → (4,2) → (5,2) → (5,1) → (5,2) → (5,3) → (5,4) → (5,5) → (5,4) → (5,5) → (5,4) → (5,5) → (4,5) → (4,4) → (4,3) → (5,3) → (5,4) → (5,5) → (5,4) → (5,5) → (4,5) → (4,4) → (4,5) → (5,5) → (5,4) → (5,3) → (5,4) → (5,5) → (5,4) → (5,5) → (5,4) → (5,5) → (5,4) → (5,3) → (5,4) → (5,3) → (5,4) → (5,5) → (5,4) → (5,5) → (5,4) → (5,5) → (5,5) (Reward: 0.1)
   3. (1,1) → (2,1) → (3,1) → (4,1) → (5,1) → (5,2) → (5,3) → (5,4) → (5,3) → (5,2) → (5,1) → (5,2) → (5,3) → (5,4) → (5,3) → (5,3) (Reward: 0.1)

📈 Reward Distribution:
   Reward 0.1: 45 samples (default terminal)
   Reward 5.0: 4 samples (positions (1,5) and (5,1))
   Reward 10.0: 1 samples (position (3,3))
   Other: 0 samples


Training Data:
Iteration 1: Loss=27.944075, Mean Reward=2.25, High Rewards=6, Successful=16
Iteration 2: Loss=22.934061, Mean Reward=1.6312501, High Rewards=5, Successful=16
Iteration 3: Loss=39.24241, Mean Reward=2.56875, High Rewards=5, Successful=16
Iteration 4: Loss=26.963865, Mean Reward=1.9437503, High Rewards=5, Successful=16
Iteration 5: Loss=17.268341, Mean Reward=3.7875, High Rewards=10, Successful=16
Iteration 6: Loss=30.834679, Mean Reward=2.8624997, High Rewards=8, Successful=16
Iteration 7: Loss=22.927563, Mean Reward=3.7875, High Rewards=10, Successful=16
Iteration 8: Loss=22.466702, Mean Reward=1.9437501, High Rewards=5, Successful=16
Iteration 9: Loss=34.246918, Mean Reward=1.3250002, High Rewards=4, Successful=16
Iteration 10: Loss=27.777903, Mean Reward=1.9437501, High Rewards=5, Successful=16
Iteration 11: Loss=29.84513, Mean Reward=2.55625, High Rewards=7, Successful=16
Iteration 12: Loss=23.125687, Mean Reward=1.9500003, High Rewards=4, Successful=16
Iteration 13: Loss=23.41241, Mean Reward=2.85625, High Rewards=9, Successful=16
Iteration 14: Loss=24.602104, Mean Reward=3.1749995, High Rewards=8, Successful=16
Iteration 15: Loss=18.637033, Mean Reward=0.7125, High Rewards=2, Successful=16
Iteration 16: Loss=31.89833, Mean Reward=2.25, High Rewards=6, Successful=16
Iteration 17: Loss=17.320873, Mean Reward=2.85625, High Rewards=9, Successful=16
Iteration 18: Loss=30.109482, Mean Reward=3.1812496, High Rewards=7, Successful=16
Iteration 19: Loss=18.980913, Mean Reward=2.2499993, High Rewards=6, Successful=16
Iteration 20: Loss=25.541983, Mean Reward=2.8624995, High Rewards=8, Successful=16
Iteration 21: Loss=31.875929, Mean Reward=2.2562501, High Rewards=5, Successful=16
Iteration 22: Loss=30.654171, Mean Reward=1.6375002, High Rewards=4, Successful=16
Iteration 23: Loss=26.467644, Mean Reward=1.3250002, High Rewards=4, Successful=16
Iteration 24: Loss=53.302185, Mean Reward=2.5687501, High Rewards=5, Successful=16
Iteration 25: Loss=31.683163, Mean Reward=2.2562494, High Rewards=5, Successful=16
Iteration 26: Loss=25.365786, Mean Reward=2.86875, High Rewards=7, Successful=16
Iteration 27: Loss=32.054863, Mean Reward=2.8749995, High Rewards=6, Successful=16
Iteration 28: Loss=24.759745, Mean Reward=1.6375003, High Rewards=4, Successful=16
Iteration 29: Loss=24.838215, Mean Reward=2.56875, High Rewards=5, Successful=16
Iteration 30: Loss=23.62513, Mean Reward=1.9375001, High Rewards=6, Successful=16
Iteration 31: Loss=39.872124, Mean Reward=2.86875, High Rewards=7, Successful=16
Iteration 32: Loss=23.577784, Mean Reward=1.9375001, High Rewards=6, Successful=16
Iteration 33: Loss=25.81832, Mean Reward=2.88125, High Rewards=5, Successful=16
Iteration 34: Loss=34.880325, Mean Reward=1.9437503, High Rewards=5, Successful=16
Iteration 35: Loss=19.000355, Mean Reward=1.6375002, High Rewards=4, Successful=16
Iteration 36: Loss=21.228329, Mean Reward=2.25625, High Rewards=5, Successful=16
Iteration 37: Loss=54.900154, Mean Reward=1.6375002, High Rewards=4, Successful=16
Iteration 38: Loss=35.28363, Mean Reward=1.6375002, High Rewards=4, Successful=16
Iteration 39: Loss=38.72991, Mean Reward=2.8687499, High Rewards=7, Successful=16
Iteration 40: Loss=44.1067, Mean Reward=2.5499997, High Rewards=8, Successful=16
Iteration 41: Loss=25.844795, Mean Reward=2.8749995, High Rewards=6, Successful=16
Iteration 42: Loss=36.597034, Mean Reward=1.9437501, High Rewards=5, Successful=16
Iteration 43: Loss=18.422888, Mean Reward=2.86875, High Rewards=7, Successful=16
Iteration 44: Loss=21.573832, Mean Reward=4.10625, High Rewards=9, Successful=16
Iteration 45: Loss=42.069542, Mean Reward=2.2500002, High Rewards=6, Successful=16
Iteration 46: Loss=45.80592, Mean Reward=2.25, High Rewards=6, Successful=16
Iteration 47: Loss=25.689112, Mean Reward=2.25, High Rewards=6, Successful=16
Iteration 48: Loss=33.896206, Mean Reward=2.56875, High Rewards=5, Successful=16
Iteration 49: Loss=32.000957, Mean Reward=1.3312502, High Rewards=3, Successful=16
Iteration 50: Loss=25.554789, Mean Reward=3.18125, High Rewards=7, Successful=16
Iteration 51: Loss=24.475845, Mean Reward=3.4875, High Rewards=8, Successful=16
Iteration 52: Loss=25.971886, Mean Reward=2.55625, High Rewards=7, Successful=16
Iteration 53: Loss=47.9983, Mean Reward=1.63125, High Rewards=5, Successful=16
Iteration 54: Loss=32.123028, Mean Reward=2.8749995, High Rewards=6, Successful=16
Iteration 55: Loss=37.411156, Mean Reward=2.25625, High Rewards=5, Successful=16
Iteration 56: Loss=29.482723, Mean Reward=2.5624995, High Rewards=6, Successful=16
Iteration 57: Loss=25.787321, Mean Reward=1.3250002, High Rewards=4, Successful=16
Iteration 58: Loss=33.376457, Mean Reward=1.3312501, High Rewards=3, Successful=16
Iteration 59: Loss=16.910072, Mean Reward=2.875, High Rewards=6, Successful=16
Iteration 60: Loss=21.54945, Mean Reward=2.24375, High Rewards=7, Successful=16
Iteration 61: Loss=21.655516, Mean Reward=3.4812498, High Rewards=9, Successful=16
Iteration 62: Loss=57.835335, Mean Reward=1.0187502, High Rewards=3, Successful=16
Iteration 63: Loss=17.62353, Mean Reward=3.18125, High Rewards=7, Successful=16
Iteration 64: Loss=41.75716, Mean Reward=1.0187502, High Rewards=3, Successful=16
Iteration 65: Loss=25.917982, Mean Reward=1.6312503, High Rewards=5, Successful=16
Iteration 66: Loss=13.156927, Mean Reward=4.09375, High Rewards=11, Successful=16
Iteration 67: Loss=43.1808, Mean Reward=1.0187501, High Rewards=3, Successful=16
Iteration 68: Loss=11.322217, Mean Reward=2.5625, High Rewards=6, Successful=16
Iteration 69: Loss=25.561703, Mean Reward=1.6312501, High Rewards=5, Successful=16
Iteration 70: Loss=44.65276, Mean Reward=1.9437501, High Rewards=5, Successful=16
Iteration 71: Loss=19.985798, Mean Reward=0.71250033, High Rewards=2, Successful=16
Iteration 72: Loss=11.427541, Mean Reward=3.1749997, High Rewards=8, Successful=16
Iteration 73: Loss=36.056446, Mean Reward=1.3250002, High Rewards=4, Successful=16
Iteration 74: Loss=42.93309, Mean Reward=2.8687499, High Rewards=7, Successful=16
Iteration 75: Loss=35.058018, Mean Reward=1.6312503, High Rewards=5, Successful=16
Iteration 76: Loss=30.602034, Mean Reward=1.3250002, High Rewards=4, Successful=16
Iteration 77: Loss=26.191872, Mean Reward=1.9375001, High Rewards=6, Successful=16
Iteration 78: Loss=31.693497, Mean Reward=2.2562501, High Rewards=5, Successful=16
Iteration 79: Loss=23.688717, Mean Reward=2.8749998, High Rewards=6, Successful=16
Iteration 80: Loss=23.395018, Mean Reward=2.55625, High Rewards=7, Successful=16
Iteration 81: Loss=50.354874, Mean Reward=1.3250003, High Rewards=4, Successful=16
Iteration 82: Loss=17.689562, Mean Reward=2.2562504, High Rewards=5, Successful=16
Iteration 83: Loss=31.997364, Mean Reward=2.56875, High Rewards=5, Successful=16
Iteration 84: Loss=23.293362, Mean Reward=2.8625002, High Rewards=8, Successful=16
Iteration 85: Loss=36.526047, Mean Reward=1.6375, High Rewards=4, Successful=16
Iteration 86: Loss=37.022808, Mean Reward=1.94375, High Rewards=5, Successful=16
Iteration 87: Loss=41.215958, Mean Reward=1.6312501, High Rewards=5, Successful=16
Iteration 88: Loss=29.580662, Mean Reward=3.4812496, High Rewards=9, Successful=16
Iteration 89: Loss=16.28998, Mean Reward=3.7874994, High Rewards=10, Successful=16
Iteration 90: Loss=32.46886, Mean Reward=2.2625003, High Rewards=4, Successful=16
Iteration 91: Loss=15.513045, Mean Reward=1.0187502, High Rewards=3, Successful=16
Iteration 92: Loss=19.627281, Mean Reward=1.3312502, High Rewards=3, Successful=16
Iteration 93: Loss=38.831, Mean Reward=3.1749997, High Rewards=8, Successful=16
Iteration 94: Loss=21.362467, Mean Reward=3.4937496, High Rewards=7, Successful=16
Iteration 95: Loss=33.09342, Mean Reward=1.3312502, High Rewards=3, Successful=16
Iteration 96: Loss=42.922993, Mean Reward=1.3312501, High Rewards=3, Successful=16
Iteration 97: Loss=29.69955, Mean Reward=1.9437503, High Rewards=5, Successful=16
Iteration 98: Loss=30.449978, Mean Reward=2.5687497, High Rewards=5, Successful=16
Iteration 99: Loss=32.663513, Mean Reward=3.1749997, High Rewards=8, Successful=16
Iteration 100: Loss=30.236694, Mean Reward=2.25625, High Rewards=5, Successful=16
