iteration,loss,mean_reward,high_reward_count,successful_samples
1,27.944075,2.25,6,16
2,22.934061,1.6312501,5,16
3,39.24241,2.56875,5,16
4,26.963865,1.9437503,5,16
5,17.268341,3.7875,10,16
6,30.834679,2.8624997,8,16
7,22.927563,3.7875,10,16
8,22.466702,1.9437501,5,16
9,34.246918,1.3250002,4,16
10,27.777903,1.9437501,5,16
11,29.84513,2.55625,7,16
12,23.125687,1.9500003,4,16
13,23.41241,2.85625,9,16
14,24.602104,3.1749995,8,16
15,18.637033,0.7125,2,16
16,31.89833,2.25,6,16
17,17.320873,2.85625,9,16
18,30.109482,3.1812496,7,16
19,18.980913,2.2499993,6,16
20,25.541983,2.8624995,8,16
21,31.875929,2.2562501,5,16
22,30.654171,1.6375002,4,16
23,26.467644,1.3250002,4,16
24,53.302185,2.5687501,5,16
25,31.683163,2.2562494,5,16
26,25.365786,2.86875,7,16
27,32.054863,2.8749995,6,16
28,24.759745,1.6375003,4,16
29,24.838215,2.56875,5,16
30,23.62513,1.9375001,6,16
31,39.872124,2.86875,7,16
32,23.577784,1.9375001,6,16
33,25.81832,2.88125,5,16
34,34.880325,1.9437503,5,16
35,19.000355,1.6375002,4,16
36,21.228329,2.25625,5,16
37,54.900154,1.6375002,4,16
38,35.28363,1.6375002,4,16
39,38.72991,2.8687499,7,16
40,44.1067,2.5499997,8,16
41,25.844795,2.8749995,6,16
42,36.597034,1.9437501,5,16
43,18.422888,2.86875,7,16
44,21.573832,4.10625,9,16
45,42.069542,2.2500002,6,16
46,45.80592,2.25,6,16
47,25.689112,2.25,6,16
48,33.896206,2.56875,5,16
49,32.000957,1.3312502,3,16
50,25.554789,3.18125,7,16
51,24.475845,3.4875,8,16
52,25.971886,2.55625,7,16
53,47.9983,1.63125,5,16
54,32.123028,2.8749995,6,16
55,37.411156,2.25625,5,16
56,29.482723,2.5624995,6,16
57,25.787321,1.3250002,4,16
58,33.376457,1.3312501,3,16
59,16.910072,2.875,6,16
60,21.54945,2.24375,7,16
61,21.655516,3.4812498,9,16
62,57.835335,1.0187502,3,16
63,17.62353,3.18125,7,16
64,41.75716,1.0187502,3,16
65,25.917982,1.6312503,5,16
66,13.156927,4.09375,11,16
67,43.1808,1.0187501,3,16
68,11.322217,2.5625,6,16
69,25.561703,1.6312501,5,16
70,44.65276,1.9437501,5,16
71,19.985798,0.71250033,2,16
72,11.427541,3.1749997,8,16
73,36.056446,1.3250002,4,16
74,42.93309,2.8687499,7,16
75,35.058018,1.6312503,5,16
76,30.602034,1.3250002,4,16
77,26.191872,1.9375001,6,16
78,31.693497,2.2562501,5,16
79,23.688717,2.8749998,6,16
80,23.395018,2.55625,7,16
81,50.354874,1.3250003,4,16
82,17.689562,2.2562504,5,16
83,31.997364,2.56875,5,16
84,23.293362,2.8625002,8,16
85,36.526047,1.6375,4,16
86,37.022808,1.94375,5,16
87,41.215958,1.6312501,5,16
88,29.580662,3.4812496,9,16
89,16.28998,3.7874994,10,16
90,32.46886,2.2625003,4,16
91,15.513045,1.0187502,3,16
92,19.627281,1.3312502,3,16
93,38.831,3.1749997,8,16
94,21.362467,3.4937496,7,16
95,33.09342,1.3312502,3,16
96,42.922993,1.3312501,3,16
97,29.69955,1.9437503,5,16
98,30.449978,2.5687497,5,16
99,32.663513,3.1749997,8,16
100,30.236694,2.25625,5,16
