trajectory_id,step,x,y,is_terminal,reward
1,1,1,1,false,0.0
1,2,1,2,false,0.0
1,3,1,1,false,0.0
1,4,2,1,false,0.0
1,5,2,1,true,1.0
2,1,1,1,false,0.0
2,2,2,1,false,0.0
2,3,2,1,true,1.0
3,1,1,1,false,0.0
3,2,2,1,false,0.0
3,3,3,1,false,0.0
3,4,3,1,true,1.0
4,1,1,1,false,0.0
4,2,1,2,false,0.0
4,3,1,2,true,1.0
5,1,1,1,false,0.0
5,2,2,1,false,0.0
5,3,1,1,false,0.0
5,4,2,1,false,0.0
5,5,3,1,false,0.0
5,6,3,1,true,1.0
6,1,1,1,false,0.0
6,2,2,1,false,0.0
6,3,2,1,true,1.0
7,1,1,1,false,0.0
7,2,1,2,false,0.0
7,3,1,2,true,1.0
8,1,1,1,false,0.0
8,2,1,2,false,0.0
8,3,2,2,false,0.0
8,4,2,1,false,0.0
8,5,2,1,true,1.0
9,1,1,1,false,0.0
9,2,1,1,true,1.0
10,1,1,1,false,0.0
10,2,1,1,true,1.0
11,1,1,1,false,0.0
11,2,1,1,true,1.0
12,1,1,1,false,0.0
12,2,2,1,false,0.0
12,3,3,1,false,0.0
12,4,4,1,false,0.0
12,5,4,1,true,1.0
13,1,1,1,false,0.0
13,2,2,1,false,0.0
13,3,2,1,true,1.0
14,1,1,1,false,0.0
14,2,1,1,true,1.0
15,1,1,1,false,0.0
15,2,2,1,false,0.0
15,3,3,1,false,0.0
15,4,3,2,false,0.0
15,5,2,2,false,0.0
15,6,2,2,true,1.0
16,1,1,1,false,0.0
16,2,1,2,false,0.0
16,3,2,2,false,0.0
16,4,3,2,false,0.0
16,5,3,2,true,1.0
17,1,1,1,false,0.0
17,2,2,1,false,0.0
17,3,2,1,true,1.0
18,1,1,1,false,0.0
18,2,1,1,true,1.0
19,1,1,1,false,0.0
19,2,2,1,false,0.0
19,3,2,1,true,1.0
20,1,1,1,false,0.0
20,2,1,1,true,1.0
21,1,1,1,false,0.0
21,2,1,2,false,0.0
21,3,1,3,false,0.0
21,4,1,3,true,1.0
22,1,1,1,false,0.0
22,2,1,1,true,1.0
23,1,1,1,false,0.0
23,2,1,1,true,1.0
24,1,1,1,false,0.0
24,2,1,2,false,0.0
24,3,2,2,false,0.0
24,4,1,2,false,0.0
24,5,1,2,true,1.0
25,1,1,1,false,0.0
25,2,2,1,false,0.0
25,3,2,1,true,1.0
26,1,1,1,false,0.0
26,2,1,1,true,1.0
27,1,1,1,false,0.0
27,2,2,1,false,0.0
27,3,2,1,true,1.0
28,1,1,1,false,0.0
28,2,2,1,false,0.0
28,3,3,1,false,0.0
28,4,3,1,true,1.0
29,1,1,1,false,0.0
29,2,1,2,false,0.0
29,3,2,2,false,0.0
29,4,1,2,false,0.0
29,5,2,2,false,0.0
29,6,2,1,false,0.0
29,7,3,1,false,0.0
29,8,3,1,true,1.0
30,1,1,1,false,0.0
30,2,1,2,false,0.0
30,3,1,1,false,0.0
30,4,1,1,true,1.0
31,1,1,1,false,0.0
31,2,1,1,true,1.0
32,1,1,1,false,0.0
32,2,2,1,false,0.0
32,3,2,2,false,0.0
32,4,3,2,false,0.0
32,5,3,2,true,1.0
33,1,1,1,false,0.0
33,2,2,1,false,0.0
33,3,2,1,true,1.0
34,1,1,1,false,0.0
34,2,1,1,true,1.0
35,1,1,1,false,0.0
35,2,1,1,true,1.0
36,1,1,1,false,0.0
36,2,1,1,true,1.0
37,1,1,1,false,0.0
37,2,1,1,true,1.0
38,1,1,1,false,0.0
38,2,1,1,true,1.0
39,1,1,1,false,0.0
39,2,1,2,false,0.0
39,3,2,2,false,0.0
39,4,1,2,false,0.0
39,5,2,2,false,0.0
39,6,1,2,false,0.0
39,7,1,3,false,0.0
39,8,2,3,false,0.0
39,9,3,3,false,0.0
39,10,3,3,true,10.0
40,1,1,1,false,0.0
40,2,1,2,false,0.0
40,3,1,3,false,0.0
40,4,1,2,false,0.0
40,5,1,3,false,0.0
40,6,1,4,false,0.0
40,7,1,4,true,1.0
41,1,1,1,false,0.0
41,2,1,2,false,0.0
41,3,1,2,true,1.0
42,1,1,1,false,0.0
42,2,2,1,false,0.0
42,3,3,1,false,0.0
42,4,3,1,true,1.0
43,1,1,1,false,0.0
43,2,2,1,false,0.0
43,3,2,1,true,1.0
44,1,1,1,false,0.0
44,2,2,1,false,0.0
44,3,2,1,true,1.0
45,1,1,1,false,0.0
45,2,1,1,true,1.0
46,1,1,1,false,0.0
46,2,1,1,true,1.0
47,1,1,1,false,0.0
47,2,1,2,false,0.0
47,3,2,2,false,0.0
47,4,2,3,false,0.0
47,5,2,3,true,1.0
48,1,1,1,false,0.0
48,2,1,1,true,1.0
49,1,1,1,false,0.0
49,2,1,1,true,1.0
50,1,1,1,false,0.0
50,2,1,1,true,1.0
