x_position,y_position,visit_count,visit_frequency,mean_reward,std_reward,max_reward,min_reward
5,5,21,0.21,50.0,0.0,50.0,50.0
4,5,11,0.11,2.0,0.0,2.0,2.0
5,4,9,0.09,2.0,0.0,2.0,2.0
3,5,7,0.07,2.0,0.0,2.0,2.0
2,3,6,0.06,2.0,0.0,2.0,2.0
2,5,5,0.05,2.0,0.0,2.0,2.0
3,4,5,0.05,2.0,0.0,2.0,2.0
4,4,5,0.05,2.0,0.0,2.0,2.0
3,3,4,0.04,30.0,0.0,30.0,30.0
1,5,4,0.04,40.0,0.0,40.0,40.0
1,4,3,0.03,2.0,0.0,2.0,2.0
4,1,3,0.03,2.0,0.0,2.0,2.0
2,4,3,0.03,20.0,0.0,20.0,20.0
5,2,3,0.03,2.0,0.0,2.0,2.0
5,3,3,0.03,2.0,0.0,2.0,2.0
1,2,2,0.02,1.0,0.0,1.0,1.0
2,1,2,0.02,1.0,0.0,1.0,1.0
1,3,1,0.01,1.0,NaN,1.0,1.0
3,2,1,0.01,2.0,NaN,2.0,2.0
2,2,1,0.01,1.0,NaN,1.0,1.0
4,3,1,0.01,2.0,NaN,2.0,2.0
