trajectory_id,reward,category,is_high_reward,is_optimal
1,2.0,Low,false,false
2,50.0,Optimal,true,true
3,2.0,Low,false,false
4,2.0,Low,false,false
5,30.0,High,true,false
6,2.0,Low,false,false
7,50.0,Optimal,true,true
8,2.0,Low,false,false
9,50.0,Optimal,true,true
10,2.0,Low,false,false
11,2.0,Low,false,false
12,2.0,Low,false,false
13,50.0,Optimal,true,true
14,2.0,Low,false,false
15,1.0,Low,false,false
16,30.0,High,true,false
17,50.0,Optimal,true,true
18,2.0,Low,false,false
19,2.0,Low,false,false
20,2.0,Low,false,false
21,2.0,Low,false,false
22,50.0,Optimal,true,true
23,2.0,Low,false,false
24,50.0,Optimal,true,true
25,2.0,Low,false,false
26,2.0,Low,false,false
27,2.0,Low,false,false
28,2.0,Low,false,false
29,50.0,Optimal,true,true
30,2.0,Low,false,false
31,40.0,Optimal,true,true
32,2.0,Low,false,false
33,2.0,Low,false,false
34,2.0,Low,false,false
35,40.0,Optimal,true,true
36,50.0,Optimal,true,true
37,2.0,Low,false,false
38,1.0,Low,false,false
39,2.0,Low,false,false
40,2.0,Low,false,false
41,2.0,Low,false,false
42,2.0,Low,false,false
43,50.0,Optimal,true,true
44,50.0,Optimal,true,true
45,20.0,High,true,false
46,2.0,Low,false,false
47,2.0,Low,false,false
48,2.0,Low,false,false
49,1.0,Low,false,false
50,2.0,Low,false,false
51,40.0,Optimal,true,true
52,40.0,Optimal,true,true
53,1.0,Low,false,false
54,50.0,Optimal,true,true
55,50.0,Optimal,true,true
56,2.0,Low,false,false
57,2.0,Low,false,false
58,2.0,Low,false,false
59,2.0,Low,false,false
60,50.0,Optimal,true,true
61,20.0,High,true,false
62,50.0,Optimal,true,true
63,2.0,Low,false,false
64,2.0,Low,false,false
65,2.0,Low,false,false
66,2.0,Low,false,false
67,50.0,Optimal,true,true
68,2.0,Low,false,false
69,2.0,Low,false,false
70,2.0,Low,false,false
71,30.0,High,true,false
72,2.0,Low,false,false
73,1.0,Low,false,false
74,2.0,Low,false,false
75,2.0,Low,false,false
76,2.0,Low,false,false
77,2.0,Low,false,false
78,2.0,Low,false,false
79,2.0,Low,false,false
80,2.0,Low,false,false
81,2.0,Low,false,false
82,50.0,Optimal,true,true
83,2.0,Low,false,false
84,1.0,Low,false,false
85,2.0,Low,false,false
86,2.0,Low,false,false
87,50.0,Optimal,true,true
88,2.0,Low,false,false
89,2.0,Low,false,false
90,20.0,High,true,false
91,2.0,Low,false,false
92,2.0,Low,false,false
93,2.0,Low,false,false
94,2.0,Low,false,false
95,2.0,Low,false,false
96,50.0,Optimal,true,true
97,2.0,Low,false,false
98,30.0,High,true,false
99,50.0,Optimal,true,true
100,50.0,Optimal,true,true
