trajectory_id,path_length,final_x,final_y,reward,path
1,3,1,2,1.0,"(1,1)->(1,2)->(1,2)"
2,2,1,1,1.0,"(1,1)->(1,1)"
3,2,1,1,1.0,"(1,1)->(1,1)"
4,2,1,1,1.0,"(1,1)->(1,1)"
5,4,1,1,1.0,"(1,1)->(1,2)->(1,1)->(1,1)"
6,2,1,1,1.0,"(1,1)->(1,1)"
7,4,1,1,1.0,"(1,1)->(2,1)->(1,1)->(1,1)"
8,2,1,1,1.0,"(1,1)->(1,1)"
9,8,1,5,1.0,"(1,1)->(1,2)->(1,3)->(1,4)->(2,4)->(2,5)->(1,5)->(1,5)"
10,2,1,1,1.0,"(1,1)->(1,1)"
11,2,1,1,1.0,"(1,1)->(1,1)"
12,6,1,1,1.0,"(1,1)->(1,2)->(1,1)->(2,1)->(1,1)->(1,1)"
13,2,1,1,1.0,"(1,1)->(1,1)"
14,3,1,2,1.0,"(1,1)->(1,2)->(1,2)"
15,4,1,1,1.0,"(1,1)->(2,1)->(1,1)->(1,1)"
16,5,1,2,1.0,"(1,1)->(2,1)->(1,1)->(1,2)->(1,2)"
17,7,2,1,1.0,"(1,1)->(2,1)->(2,2)->(1,2)->(2,2)->(2,1)->(2,1)"
18,3,2,1,1.0,"(1,1)->(2,1)->(2,1)"
19,5,2,1,1.0,"(1,1)->(2,1)->(3,1)->(2,1)->(2,1)"
20,7,2,1,1.0,"(1,1)->(2,1)->(1,1)->(1,2)->(1,1)->(2,1)->(2,1)"
