Solution_ID,Iteration,Reward,Method,Timestamp
1,1,1.0,GFlowNets,2025-07-28_13-24-27
2,2,1.0,GFlowNets,2025-07-28_13-24-27
3,3,1.0,GFlowNets,2025-07-28_13-24-27
4,4,1.0,GFlowNets,2025-07-28_13-24-27
5,5,1.0,GFlowNets,2025-07-28_13-24-27
6,6,1.0,GFlowNets,2025-07-28_13-24-27
7,7,1.0,GFlowNets,2025-07-28_13-24-27
8,8,1.0,GFlowNets,2025-07-28_13-24-27
9,9,1.0,GFlowNets,2025-07-28_13-24-27
10,10,1.0,GFlowNets,2025-07-28_13-24-27
11,11,1.0,GFlowNets,2025-07-28_13-24-27
12,12,1.0,GFlowNets,2025-07-28_13-24-27
13,13,1.0,GFlowNets,2025-07-28_13-24-27
14,14,1.0,GFlowNets,2025-07-28_13-24-27
15,15,1.0,GFlowNets,2025-07-28_13-24-27
16,16,1.0,GFlowNets,2025-07-28_13-24-27
17,17,1.0,GFlowNets,2025-07-28_13-24-27
18,18,1.0,GFlowNets,2025-07-28_13-24-27
19,19,1.0,GFlowNets,2025-07-28_13-24-27
20,20,1.0,GFlowNets,2025-07-28_13-24-27
21,21,1.0,GFlowNets,2025-07-28_13-24-27
22,22,1.0,GFlowNets,2025-07-28_13-24-27
23,23,1.0,GFlowNets,2025-07-28_13-24-27
24,24,1.0,GFlowNets,2025-07-28_13-24-27
25,25,1.0,GFlowNets,2025-07-28_13-24-27
26,26,1.0,GFlowNets,2025-07-28_13-24-27
27,27,1.0,GFlowNets,2025-07-28_13-24-27
28,28,1.0,GFlowNets,2025-07-28_13-24-27
29,29,1.0,GFlowNets,2025-07-28_13-24-27
30,30,1.0,GFlowNets,2025-07-28_13-24-27
31,31,1.0,GFlowNets,2025-07-28_13-24-27
32,32,1.0,GFlowNets,2025-07-28_13-24-27
33,33,1.0,GFlowNets,2025-07-28_13-24-27
34,34,1.0,GFlowNets,2025-07-28_13-24-27
35,35,1.0,GFlowNets,2025-07-28_13-24-27
36,36,1.0,GFlowNets,2025-07-28_13-24-27
37,37,1.0,GFlowNets,2025-07-28_13-24-27
38,38,1.0,GFlowNets,2025-07-28_13-24-27
39,39,1.0,GFlowNets,2025-07-28_13-24-27
40,40,1.0,GFlowNets,2025-07-28_13-24-27
41,41,1.0,GFlowNets,2025-07-28_13-24-27
42,42,1.0,GFlowNets,2025-07-28_13-24-27
43,43,1.0,GFlowNets,2025-07-28_13-24-27
44,44,1.0,GFlowNets,2025-07-28_13-24-27
45,45,1.0,GFlowNets,2025-07-28_13-24-27
46,46,1.0,GFlowNets,2025-07-28_13-24-27
47,47,1.0,GFlowNets,2025-07-28_13-24-27
48,48,1.0,GFlowNets,2025-07-28_13-24-27
49,49,1.0,GFlowNets,2025-07-28_13-24-27
50,50,1.0,GFlowNets,2025-07-28_13-24-27
51,51,1.0,GFlowNets,2025-07-28_13-24-27
52,52,1.0,GFlowNets,2025-07-28_13-24-27
53,53,1.0,GFlowNets,2025-07-28_13-24-27
54,54,1.0,GFlowNets,2025-07-28_13-24-27
55,55,1.0,GFlowNets,2025-07-28_13-24-27
56,56,1.0,GFlowNets,2025-07-28_13-24-27
57,57,1.0,GFlowNets,2025-07-28_13-24-27
58,58,1.0,GFlowNets,2025-07-28_13-24-27
59,59,1.0,GFlowNets,2025-07-28_13-24-27
60,60,1.0,GFlowNets,2025-07-28_13-24-27
61,61,1.0,GFlowNets,2025-07-28_13-24-27
62,62,1.0,GFlowNets,2025-07-28_13-24-27
63,63,1.0,GFlowNets,2025-07-28_13-24-27
64,64,1.0,GFlowNets,2025-07-28_13-24-27
65,65,1.0,GFlowNets,2025-07-28_13-24-27
66,66,1.0,GFlowNets,2025-07-28_13-24-27
67,67,1.0,GFlowNets,2025-07-28_13-24-27
68,68,1.0,GFlowNets,2025-07-28_13-24-27
69,69,1.0,GFlowNets,2025-07-28_13-24-27
70,70,1.0,GFlowNets,2025-07-28_13-24-27
71,71,1.0,GFlowNets,2025-07-28_13-24-27
72,72,1.0,GFlowNets,2025-07-28_13-24-27
73,73,1.0,GFlowNets,2025-07-28_13-24-27
74,74,1.0,GFlowNets,2025-07-28_13-24-27
75,75,1.0,GFlowNets,2025-07-28_13-24-27
76,76,1.0,GFlowNets,2025-07-28_13-24-27
77,77,1.0,GFlowNets,2025-07-28_13-24-27
78,78,1.0,GFlowNets,2025-07-28_13-24-27
79,79,1.0,GFlowNets,2025-07-28_13-24-27
80,80,1.0,GFlowNets,2025-07-28_13-24-27
81,81,1.0,GFlowNets,2025-07-28_13-24-27
82,82,1.0,GFlowNets,2025-07-28_13-24-27
83,83,1.0,GFlowNets,2025-07-28_13-24-27
84,84,1.0,GFlowNets,2025-07-28_13-24-27
85,85,1.0,GFlowNets,2025-07-28_13-24-27
