Solution_ID,Iteration,Reward,Method,Timestamp
1,1,758.5919598020688,Greedy,2025-07-28_13-25-39
2,2,745.2870386213833,Greedy,2025-07-28_13-25-39
3,3,740.4813755621374,Greedy,2025-07-28_13-25-39
4,4,752.5226547835044,Greedy,2025-07-28_13-25-39
5,5,759.6750431225325,Greedy,2025-07-28_13-25-39
6,6,760.9180194761993,Greedy,2025-07-28_13-25-39
7,7,755.9730557972556,Greedy,2025-07-28_13-25-39
8,8,755.5767805755091,Greedy,2025-07-28_13-25-39
9,9,759.0993755594403,Greedy,2025-07-28_13-25-39
10,10,760.6404233518962,Greedy,2025-07-28_13-25-39
11,11,754.8624677678714,Greedy,2025-07-28_13-25-39
12,12,746.3255384641818,Greedy,2025-07-28_13-25-39
13,13,747.9631633845618,Greedy,2025-07-28_13-25-39
14,14,753.6672906358194,Greedy,2025-07-28_13-25-39
15,15,747.5487990696098,Greedy,2025-07-28_13-25-39
16,16,745.6640158811715,Greedy,2025-07-28_13-25-39
17,17,747.0537930973961,Greedy,2025-07-28_13-25-39
18,18,748.0424600846544,Greedy,2025-07-28_13-25-39
19,19,752.8777498477223,Greedy,2025-07-28_13-25-39
20,20,746.7790541328843,Greedy,2025-07-28_13-25-39
21,21,761.3850696149885,Greedy,2025-07-28_13-25-39
22,22,745.2205651354384,Greedy,2025-07-28_13-25-39
23,23,755.7149500138885,Greedy,2025-07-28_13-25-39
24,24,747.8359184737969,Greedy,2025-07-28_13-25-39
25,25,762.0501792135632,Greedy,2025-07-28_13-25-39
26,26,756.3783481558329,Greedy,2025-07-28_13-25-39
27,27,749.6526879424732,Greedy,2025-07-28_13-25-39
28,28,752.5908070600326,Greedy,2025-07-28_13-25-39
29,29,742.4639654105904,Greedy,2025-07-28_13-25-39
30,30,759.4204177234143,Greedy,2025-07-28_13-25-39
31,31,742.9684420564431,Greedy,2025-07-28_13-25-39
32,32,762.5056358383932,Greedy,2025-07-28_13-25-39
33,33,745.782939122519,Greedy,2025-07-28_13-25-39
34,34,760.4385724603736,Greedy,2025-07-28_13-25-39
35,35,754.4893086038073,Greedy,2025-07-28_13-25-39
36,36,748.9820744483786,Greedy,2025-07-28_13-25-39
37,37,757.3438047364981,Greedy,2025-07-28_13-25-39
38,38,748.564276090338,Greedy,2025-07-28_13-25-39
39,39,745.2781785830812,Greedy,2025-07-28_13-25-39
40,40,755.5753760437689,Greedy,2025-07-28_13-25-39
41,41,759.1223482437118,Greedy,2025-07-28_13-25-39
42,42,741.0546730410813,Greedy,2025-07-28_13-25-39
43,43,751.4786265417542,Greedy,2025-07-28_13-25-39
44,44,751.6982746929399,Greedy,2025-07-28_13-25-39
45,45,747.7386946196564,Greedy,2025-07-28_13-25-39
46,46,763.3693801009628,Greedy,2025-07-28_13-25-39
