Solution_ID,Iteration,Reward,Method,Timestamp
1,1,1.0,Random Search,2025-07-28_13-10-28
2,1,1.0,Random Search,2025-07-28_13-10-28
3,1,1.0,Random Search,2025-07-28_13-10-28
4,1,1.0,Random Search,2025-07-28_13-10-28
5,1,1.0,Random Search,2025-07-28_13-10-28
6,1,1.0,Random Search,2025-07-28_13-10-28
7,1,1.0,Random Search,2025-07-28_13-10-28
8,1,1.0,Random Search,2025-07-28_13-10-28
9,1,1.0,Random Search,2025-07-28_13-10-28
10,1,1.0,Random Search,2025-07-28_13-10-28
11,1,1.0,Random Search,2025-07-28_13-10-28
12,1,1.0,Random Search,2025-07-28_13-10-28
13,1,1.0,Random Search,2025-07-28_13-10-28
14,1,1.0,Random Search,2025-07-28_13-10-28
15,1,1.0,Random Search,2025-07-28_13-10-28
16,1,1.0,Random Search,2025-07-28_13-10-28
17,1,1.0,Random Search,2025-07-28_13-10-28
18,1,1.0,Random Search,2025-07-28_13-10-28
19,1,1.0,Random Search,2025-07-28_13-10-28
20,1,1.0,Random Search,2025-07-28_13-10-28
21,1,1.0,Random Search,2025-07-28_13-10-28
22,1,1.0,Random Search,2025-07-28_13-10-28
23,1,1.0,Random Search,2025-07-28_13-10-28
24,1,1.0,Random Search,2025-07-28_13-10-28
25,1,1.0,Random Search,2025-07-28_13-10-28
26,1,1.0,Random Search,2025-07-28_13-10-28
27,1,1.0,Random Search,2025-07-28_13-10-28
28,1,1.0,Random Search,2025-07-28_13-10-28
29,1,1.0,Random Search,2025-07-28_13-10-28
30,1,1.0,Random Search,2025-07-28_13-10-28
31,1,1.0,Random Search,2025-07-28_13-10-28
32,1,1.0,Random Search,2025-07-28_13-10-28
33,1,1.0,Random Search,2025-07-28_13-10-28
34,1,1.0,Random Search,2025-07-28_13-10-28
35,1,1.0,Random Search,2025-07-28_13-10-28
36,1,1.0,Random Search,2025-07-28_13-10-28
37,1,1.0,Random Search,2025-07-28_13-10-28
38,1,1.0,Random Search,2025-07-28_13-10-28
39,1,1.0,Random Search,2025-07-28_13-10-28
40,1,1.0,Random Search,2025-07-28_13-10-28
41,1,1.0,Random Search,2025-07-28_13-10-28
42,1,1.0,Random Search,2025-07-28_13-10-28
43,1,1.0,Random Search,2025-07-28_13-10-28
44,1,1.0,Random Search,2025-07-28_13-10-28
45,1,1.0,Random Search,2025-07-28_13-10-28
46,1,1.0,Random Search,2025-07-28_13-10-28
47,1,1.0,Random Search,2025-07-28_13-10-28
48,1,1.0,Random Search,2025-07-28_13-10-28
49,1,1.0,Random Search,2025-07-28_13-10-28
50,1,1.0,Random Search,2025-07-28_13-10-28
