Solution_ID,Iteration,Reward,Method,Timestamp
1,1,0.0,Simulated Annealing,2025-07-28_12-27-26
2,2,0.0,Simulated Annealing,2025-07-28_12-27-26
3,3,0.0,Simulated Annealing,2025-07-28_12-27-26
4,4,0.0,Simulated Annealing,2025-07-28_12-27-26
5,5,0.0,Simulated Annealing,2025-07-28_12-27-26
6,6,0.0,Simulated Annealing,2025-07-28_12-27-26
7,7,0.0,Simulated Annealing,2025-07-28_12-27-26
8,8,0.0,Simulated Annealing,2025-07-28_12-27-26
9,9,0.0,Simulated Annealing,2025-07-28_12-27-26
10,10,0.0,Simulated Annealing,2025-07-28_12-27-26
11,11,0.0,Simulated Annealing,2025-07-28_12-27-26
12,12,0.0,Simulated Annealing,2025-07-28_12-27-26
13,13,0.0,Simulated Annealing,2025-07-28_12-27-26
14,14,0.0,Simulated Annealing,2025-07-28_12-27-26
15,15,0.0,Simulated Annealing,2025-07-28_12-27-26
16,16,0.0,Simulated Annealing,2025-07-28_12-27-26
17,17,0.0,Simulated Annealing,2025-07-28_12-27-26
18,18,0.0,Simulated Annealing,2025-07-28_12-27-26
19,19,0.0,Simulated Annealing,2025-07-28_12-27-26
20,20,0.0,Simulated Annealing,2025-07-28_12-27-26
21,21,0.0,Simulated Annealing,2025-07-28_12-27-26
22,22,0.0,Simulated Annealing,2025-07-28_12-27-26
23,23,0.0,Simulated Annealing,2025-07-28_12-27-26
24,24,0.0,Simulated Annealing,2025-07-28_12-27-26
25,25,0.0,Simulated Annealing,2025-07-28_12-27-26
26,26,0.0,Simulated Annealing,2025-07-28_12-27-26
27,27,0.0,Simulated Annealing,2025-07-28_12-27-26
28,28,0.0,Simulated Annealing,2025-07-28_12-27-26
29,29,0.0,Simulated Annealing,2025-07-28_12-27-26
30,30,0.0,Simulated Annealing,2025-07-28_12-27-26
31,31,0.0,Simulated Annealing,2025-07-28_12-27-26
32,32,0.0,Simulated Annealing,2025-07-28_12-27-26
33,33,0.0,Simulated Annealing,2025-07-28_12-27-26
34,34,0.0,Simulated Annealing,2025-07-28_12-27-26
35,35,0.0,Simulated Annealing,2025-07-28_12-27-26
36,36,0.0,Simulated Annealing,2025-07-28_12-27-26
37,37,0.0,Simulated Annealing,2025-07-28_12-27-26
38,38,0.0,Simulated Annealing,2025-07-28_12-27-26
39,39,0.0,Simulated Annealing,2025-07-28_12-27-26
40,40,0.0,Simulated Annealing,2025-07-28_12-27-26
41,41,0.0,Simulated Annealing,2025-07-28_12-27-26
42,42,0.0,Simulated Annealing,2025-07-28_12-27-26
43,43,0.0,Simulated Annealing,2025-07-28_12-27-26
44,44,0.0,Simulated Annealing,2025-07-28_12-27-26
45,45,0.0,Simulated Annealing,2025-07-28_12-27-26
46,46,0.0,Simulated Annealing,2025-07-28_12-27-26
47,47,0.0,Simulated Annealing,2025-07-28_12-27-26
48,48,0.0,Simulated Annealing,2025-07-28_12-27-26
49,49,0.0,Simulated Annealing,2025-07-28_12-27-26
50,50,0.0,Simulated Annealing,2025-07-28_12-27-26
51,51,0.0,Simulated Annealing,2025-07-28_12-27-26
52,52,0.0,Simulated Annealing,2025-07-28_12-27-26
53,53,0.0,Simulated Annealing,2025-07-28_12-27-26
54,54,0.0,Simulated Annealing,2025-07-28_12-27-26
55,55,0.0,Simulated Annealing,2025-07-28_12-27-26
56,56,0.0,Simulated Annealing,2025-07-28_12-27-26
57,57,0.0,Simulated Annealing,2025-07-28_12-27-26
58,58,0.0,Simulated Annealing,2025-07-28_12-27-26
59,59,0.0,Simulated Annealing,2025-07-28_12-27-26
60,60,0.0,Simulated Annealing,2025-07-28_12-27-26
61,61,0.0,Simulated Annealing,2025-07-28_12-27-26
62,62,0.0,Simulated Annealing,2025-07-28_12-27-26
63,63,0.0,Simulated Annealing,2025-07-28_12-27-26
64,64,0.0,Simulated Annealing,2025-07-28_12-27-26
65,65,0.0,Simulated Annealing,2025-07-28_12-27-26
66,66,0.0,Simulated Annealing,2025-07-28_12-27-26
67,67,0.0,Simulated Annealing,2025-07-28_12-27-26
68,68,0.0,Simulated Annealing,2025-07-28_12-27-26
69,69,0.0,Simulated Annealing,2025-07-28_12-27-26
70,70,0.0,Simulated Annealing,2025-07-28_12-27-26
71,71,0.0,Simulated Annealing,2025-07-28_12-27-26
72,72,0.0,Simulated Annealing,2025-07-28_12-27-26
73,73,0.0,Simulated Annealing,2025-07-28_12-27-26
74,74,0.0,Simulated Annealing,2025-07-28_12-27-26
75,75,0.0,Simulated Annealing,2025-07-28_12-27-26
76,76,0.0,Simulated Annealing,2025-07-28_12-27-26
77,77,0.0,Simulated Annealing,2025-07-28_12-27-26
78,78,0.0,Simulated Annealing,2025-07-28_12-27-26
79,79,0.0,Simulated Annealing,2025-07-28_12-27-26
80,80,0.0,Simulated Annealing,2025-07-28_12-27-26
81,81,0.0,Simulated Annealing,2025-07-28_12-27-26
82,82,0.0,Simulated Annealing,2025-07-28_12-27-26
83,83,0.0,Simulated Annealing,2025-07-28_12-27-26
84,84,0.0,Simulated Annealing,2025-07-28_12-27-26
85,85,0.0,Simulated Annealing,2025-07-28_12-27-26
86,86,0.0,Simulated Annealing,2025-07-28_12-27-26
87,87,0.0,Simulated Annealing,2025-07-28_12-27-26
88,88,0.0,Simulated Annealing,2025-07-28_12-27-26
89,89,0.0,Simulated Annealing,2025-07-28_12-27-26
90,90,0.0,Simulated Annealing,2025-07-28_12-27-26
91,91,0.0,Simulated Annealing,2025-07-28_12-27-26
92,92,0.0,Simulated Annealing,2025-07-28_12-27-26
93,93,0.0,Simulated Annealing,2025-07-28_12-27-26
94,94,0.0,Simulated Annealing,2025-07-28_12-27-26
95,95,0.0,Simulated Annealing,2025-07-28_12-27-26
96,96,0.0,Simulated Annealing,2025-07-28_12-27-26
97,97,0.0,Simulated Annealing,2025-07-28_12-27-26
98,98,0.0,Simulated Annealing,2025-07-28_12-27-26
99,99,0.0,Simulated Annealing,2025-07-28_12-27-26
100,100,0.0,Simulated Annealing,2025-07-28_12-27-26
