solution_id,service_level,service_level_pct,reward,total_cost,high_service,excellent_service,perfect_service,trajectory_length
1,265000.0,2.65e7,100.0,0.715,true,true,true,1
2,280000.0,2.8e7,100.0,0.73,true,true,true,1
3,295000.0,2.95e7,100.0,0.745,true,true,true,1
4,310000.0,3.1e7,100.0,0.76,true,true,true,1
5,325000.0,3.25e7,100.0,0.7749999999999999,true,true,true,1
6,340000.0,3.4e7,100.0,0.7899999999999999,true,true,true,1
7,355000.0,3.55e7,100.0,0.8049999999999999,true,true,true,1
8,370000.0,3.7e7,100.0,0.82,true,true,true,1
9,385000.0,3.85e7,100.0,0.835,true,true,true,1
10,400000.0,4.0e7,100.0,0.85,true,true,true,1
11,415000.0,4.15e7,100.0,0.865,true,true,true,1
12,430000.0,4.3e7,100.0,0.8799999999999999,true,true,true,1
13,445000.0,4.45e7,100.0,0.895,true,true,true,1
14,460000.0,4.6e7,100.0,0.9099999999999999,true,true,true,1
15,475000.0,4.75e7,100.0,0.9249999999999999,true,true,true,1
16,490000.0,4.9e7,100.0,0.94,true,true,true,1
17,505000.0,5.05e7,100.0,0.955,true,true,true,1
18,520000.0,5.2e7,100.0,0.97,true,true,true,1
19,535000.0,5.35e7,100.0,0.9849999999999999,true,true,true,1
20,550000.0,5.5e7,100.0,1.0,true,true,true,1
