current_month,trajectory_id,reward,planning_horizon,trajectory_length,is_terminal,service_level,total_cost
1,1,0.01,3,18,true,0.015209125475285171,271731.83434330515
1,2,0.01,3,3,true,0.0,81000.0
1,3,100.0,3,69,true,1.0,656151.0450834413
1,4,0.01,3,34,true,0.3193916349809886,526329.3120137088
1,5,100.0,3,58,true,1.0,775343.3952608854
1,6,0.01,3,22,true,0.13049429657794676,484407.9518301273
1,7,100.0,3,70,true,1.0,720169.3775496979
1,8,100.0,3,68,true,1.0,703377.4763859024
1,9,100.0,3,70,true,1.0,631503.7933842837
2,10,0.01,3,101,true,0.5577946768060836,1.4233590958771214e6
1,11,100.0,3,77,true,1.0,780247.1116038786
1,12,100.0,3,64,true,1.0,654143.9059711554
2,13,0.01,3,85,true,0.10342205323193916,1.0386905627677672e6
1,14,20.0,3,59,true,0.9180608365019012,669623.3581666169
1,15,100.0,3,70,true,1.0,722492.9725575715
1,16,100.0,3,75,true,1.0,742670.9815438204
3,17,0.01,3,52,true,0.2200380228136882,973769.7562298607
1,18,100.0,3,74,true,1.0,612695.4190103151
1,19,100.0,3,59,true,1.0,654491.3547224287
1,20,0.01,3,43,true,0.5259315589353613,477778.75074333616
1,21,0.01,3,24,true,0.4003041825095057,437954.6364208755
1,22,100.0,3,87,true,1.0,789413.856214124
1,23,100.0,3,69,true,1.0,681373.6451409541
1,24,100.0,3,65,true,0.9562737642585551,610443.1161066785
1,25,0.01,3,58,true,0.8653992395437262,684467.7472447704
1,26,100.0,3,66,true,1.0,648027.5679610407
3,27,0.01,3,67,true,0.0076045627376425855,888015.7230153858
1,28,100.0,3,74,true,1.0,754331.5594715142
1,29,0.01,3,60,true,0.8844106463878327,625157.3030864235
2,30,0.01,3,92,true,0.12547528517110265,1.119410475794225e6
1,31,100.0,3,80,true,1.0,757898.1947501773
1,32,100.0,3,73,true,1.0,720126.8898541544
1,33,0.01,3,50,true,0.8490494296577947,577476.480993393
1,34,100.0,3,79,true,1.0,725167.6486341449
1,35,100.0,3,47,true,0.9874524714828897,534676.6034955331
1,36,0.01,3,56,true,0.7832699619771863,634564.9717120863
1,37,100.0,3,76,true,1.0,699820.2920779474
1,38,100.0,3,79,true,1.0,704350.5106175421
1,39,0.01,3,4,true,0.0,118400.0
1,40,100.0,3,78,true,1.0,731380.1479160221
1,41,0.01,3,43,true,0.5391634980988593,581795.2156089155
1,42,0.01,3,47,true,0.8992395437262357,560249.8490401275
1,43,0.01,3,5,true,0.0,195400.0
1,44,100.0,3,76,true,1.0,825266.0788474436
1,45,100.0,3,78,true,1.0,870207.3669404634
1,46,100.0,3,88,true,1.0,849472.9075646827
1,47,100.0,3,78,true,1.0,737447.4107931344
1,48,100.0,3,67,true,1.0,649584.7117827414
1,49,100.0,3,73,true,1.0,711129.8581054596
1,50,20.0,3,61,true,0.9385931558935361,615049.4545477178
1,51,0.01,3,4,true,0.0,210800.0
2,52,0.01,3,8,true,0.0376425855513308,144652.3378034249
1,53,100.0,3,80,true,1.0,653208.39083524
2,54,100.0,3,78,true,1.0,904119.9738936378
2,55,0.01,3,61,true,0.7939163498098859,631376.5985253884
1,56,0.01,3,2,true,0.0,0.0
1,57,0.01,3,38,true,0.8289733840304182,569208.6979265335
1,58,100.0,3,75,true,1.0,781792.685364321
1,59,100.0,3,63,true,0.9866920152091255,630381.8928851855
1,60,100.0,3,60,true,0.9813688212927757,656105.9020617282
1,61,100.0,3,72,true,1.0,796975.5312248231
1,62,100.0,3,73,true,1.0,758715.587519396
2,63,100.0,3,82,true,1.0,982627.2200852423
1,64,100.0,3,81,true,1.0,732081.685530612
1,65,20.0,3,49,true,0.9171102661596958,535882.9096149876
1,66,100.0,3,68,true,1.0,721535.8574230052
1,67,0.01,3,16,true,0.03954372623574144,309263.7354095682
1,68,100.0,3,62,true,1.0,684011.8863161412
1,69,0.01,3,22,true,0.28665399239543726,352823.95591722516
1,70,0.01,3,35,true,0.39695817490494295,438629.2027734243
1,71,0.01,3,25,true,0.3596958174904943,369321.79146816646
2,72,0.01,3,60,true,0.4485171102661597,788246.9005803472
1,73,0.01,3,58,true,0.8277566539923954,689850.2291699505
1,74,0.01,3,23,true,0.3688212927756654,290419.1289480859
1,75,100.0,3,66,true,1.0,634969.9545174063
1,76,100.0,3,81,true,1.0,717433.5088998341
1,77,100.0,3,78,true,1.0,762483.020236509
1,78,0.01,3,9,true,0.09505703422053231,328959.3658625644
1,79,100.0,3,76,true,1.0,763955.8529149595
1,80,100.0,3,58,true,1.0,685648.1321013096
1,81,0.01,3,10,true,0.02053231939163498,283549.1052622467
1,82,100.0,3,63,true,1.0,659780.0523800367
1,83,0.01,3,3,true,0.0,79500.0
1,84,100.0,3,64,true,1.0,706645.3052151526
1,85,100.0,3,56,true,1.0,669699.8829751033
1,86,100.0,3,59,true,1.0,637925.8792578528
1,87,0.01,3,31,true,0.6059315589353612,466023.24335133686
1,88,0.01,3,27,true,0.360532319391635,484555.8913951193
1,89,100.0,3,73,true,1.0,736139.7512603718
2,90,0.01,3,95,true,0.41825095057034223,953112.069995598
1,91,100.0,3,75,true,1.0,702905.9883035069
1,92,0.01,3,4,true,0.0,150625.0
1,93,100.0,3,64,true,1.0,737305.4028263878
1,94,0.01,3,28,true,0.2661596958174905,583899.7666096481
1,95,100.0,3,62,true,1.0,711051.7027071596
1,96,100.0,3,76,true,1.0,764792.5487371506
1,97,100.0,3,73,true,0.9608365019011407,697083.6725365289
1,98,100.0,3,70,true,1.0,739484.0585985603
1,99,100.0,3,64,true,1.0,715354.6063031758
1,100,100.0,3,82,true,1.0,679545.8280705045
1,101,20.0,3,66,true,0.9338403041825095,527739.3456947736
1,102,100.0,3,70,true,1.0,691469.517334523
1,103,0.01,3,30,true,0.33422053231939164,515187.50758135587
1,104,0.01,3,53,true,0.8304182509505703,559178.2100838795
1,105,100.0,3,93,true,1.0,765797.2645709981
1,106,100.0,3,88,true,1.0,758517.8063595475
1,107,100.0,3,87,true,1.0,682599.9181211048
3,108,0.01,3,90,true,0.37110266159695815,1.143962425323647e6
1,109,100.0,3,80,true,1.0,764923.9780903386
1,110,0.01,3,59,true,0.8342205323193916,720283.8796052288
1,111,0.01,3,12,true,0.022813688212927757,375494.2812547385
2,112,0.01,3,12,true,0.07604562737642585,440618.04008650593
1,113,0.01,3,8,true,0.0076045627376425855,204266.6070453385
1,114,100.0,3,73,true,1.0,725998.3696879944
2,115,100.0,3,73,true,1.0,731808.3368103642
1,116,0.01,3,33,true,0.40638783269961976,570095.9744312691
